,Date,Statecode,confirmed,active,deaths,recovered
0,2020-01-30,Andaman and Nicobar Islands,0,0,0,0
1,2020-01-30,Andhra Pradesh,0,0,0,0
2,2020-01-30,Arunachal Pradesh,0,0,0,0
3,2020-01-30,Assam,0,0,0,0
4,2020-01-30,Bihar,0,0,0,0
5,2020-01-30,Chandigarh,0,0,0,0
6,2020-01-30,Chattisgarh,0,0,0,0
7,2020-01-30,Delhi,0,0,0,0
8,2020-01-30,dadra and Nagar Haveli and daman and diu,0,0,0,0
9,2020-01-30,Goa,0,0,0,0
10,2020-01-30,Gujarat,0,0,0,0
11,2020-01-30,Himachal Pradesh,0,0,0,0
12,2020-01-30,Haryana,0,0,0,0
13,2020-01-30,Jharkand,0,0,0,0
14,2020-01-30,Jammu and Kashmir,0,0,0,0
15,2020-01-30,Karnataka,0,0,0,0
16,2020-01-30,kerala,0,0,0,0
17,2020-01-30,Ladakh,0,0,0,0
18,2020-01-30,Maharashtra,0,0,0,0
19,2020-01-30,Meghalaya,0,0,0,0
20,2020-01-30,Manipur,0,0,0,0
21,2020-01-30,Madhya Pradesh,0,0,0,0
22,2020-01-30,Mizoram,0,0,0,0
23,2020-01-30,Nagaland,0,0,0,0
24,2020-01-30,Odisha,0,0,0,0
25,2020-01-30,Punjab,0,0,0,0
26,2020-01-30,Puducherry,0,0,0,0
27,2020-01-30,Rajasthan,0,0,0,0
28,2020-01-30,Sikkim,0,0,0,0
29,2020-01-30,Telangana,0,0,0,0
30,2020-01-30,Tamil Nadu,0,0,0,0
31,2020-01-30,Tripura,0,0,0,0
33,2020-01-30,Uttar Pradesh,0,0,0,0
34,2020-01-30,Uttarkhand,0,0,0,0
35,2020-01-30,West Bengal,0,0,0,0
36,2020-02-02,Andaman and Nicobar Islands,0,0,0,0
37,2020-02-02,Andhra Pradesh,0,0,0,0
38,2020-02-02,Arunachal Pradesh,0,0,0,0
39,2020-02-02,Assam,0,0,0,0
40,2020-02-02,Bihar,0,0,0,0
41,2020-02-02,Chandigarh,0,0,0,0
42,2020-02-02,Chattisgarh,0,0,0,0
43,2020-02-02,Delhi,0,0,0,0
44,2020-02-02,dadra and Nagar Haveli and daman and diu,0,0,0,0
45,2020-02-02,Goa,0,0,0,0
46,2020-02-02,Gujarat,0,0,0,0
47,2020-02-02,Himachal Pradesh,0,0,0,0
48,2020-02-02,Haryana,0,0,0,0
49,2020-02-02,Jharkand,0,0,0,0
50,2020-02-02,Jammu and Kashmir,0,0,0,0
51,2020-02-02,Karnataka,0,0,0,0
52,2020-02-02,kerala,0,0,0,0
53,2020-02-02,Ladakh,0,0,0,0
54,2020-02-02,Maharashtra,0,0,0,0
55,2020-02-02,Meghalaya,0,0,0,0
56,2020-02-02,Manipur,0,0,0,0
57,2020-02-02,Madhya Pradesh,0,0,0,0
58,2020-02-02,Mizoram,0,0,0,0
59,2020-02-02,Nagaland,0,0,0,0
60,2020-02-02,Odisha,0,0,0,0
61,2020-02-02,Punjab,0,0,0,0
62,2020-02-02,Puducherry,0,0,0,0
63,2020-02-02,Rajasthan,0,0,0,0
64,2020-02-02,Sikkim,0,0,0,0
65,2020-02-02,Telangana,0,0,0,0
66,2020-02-02,Tamil Nadu,0,0,0,0
67,2020-02-02,Tripura,0,0,0,0
69,2020-02-02,Uttar Pradesh,0,0,0,0
70,2020-02-02,Uttarkhand,0,0,0,0
71,2020-02-02,West Bengal,0,0,0,0
72,2020-02-03,Andaman and Nicobar Islands,0,0,0,0
73,2020-02-03,Andhra Pradesh,0,0,0,0
74,2020-02-03,Arunachal Pradesh,0,0,0,0
75,2020-02-03,Assam,0,0,0,0
76,2020-02-03,Bihar,0,0,0,0
77,2020-02-03,Chandigarh,0,0,0,0
78,2020-02-03,Chattisgarh,0,0,0,0
79,2020-02-03,Delhi,0,0,0,0
80,2020-02-03,dadra and Nagar Haveli and daman and diu,0,0,0,0
81,2020-02-03,Goa,0,0,0,0
82,2020-02-03,Gujarat,0,0,0,0
83,2020-02-03,Himachal Pradesh,0,0,0,0
84,2020-02-03,Haryana,0,0,0,0
85,2020-02-03,Jharkand,0,0,0,0
86,2020-02-03,Jammu and Kashmir,0,0,0,0
87,2020-02-03,Karnataka,0,0,0,0
88,2020-02-03,kerala,0,0,0,0
89,2020-02-03,Ladakh,0,0,0,0
90,2020-02-03,Maharashtra,0,0,0,0
91,2020-02-03,Meghalaya,0,0,0,0
92,2020-02-03,Manipur,0,0,0,0
93,2020-02-03,Madhya Pradesh,0,0,0,0
94,2020-02-03,Mizoram,0,0,0,0
95,2020-02-03,Nagaland,0,0,0,0
96,2020-02-03,Odisha,0,0,0,0
97,2020-02-03,Punjab,0,0,0,0
98,2020-02-03,Puducherry,0,0,0,0
99,2020-02-03,Rajasthan,0,0,0,0
100,2020-02-03,Sikkim,0,0,0,0
101,2020-02-03,Telangana,0,0,0,0
102,2020-02-03,Tamil Nadu,0,0,0,0
103,2020-02-03,Tripura,0,0,0,0
105,2020-02-03,Uttar Pradesh,0,0,0,0
106,2020-02-03,Uttarkhand,0,0,0,0
107,2020-02-03,West Bengal,0,0,0,0
108,2020-03-02,Andaman and Nicobar Islands,0,0,0,0
109,2020-03-02,Andhra Pradesh,0,0,0,0
110,2020-03-02,Arunachal Pradesh,0,0,0,0
111,2020-03-02,Assam,0,0,0,0
112,2020-03-02,Bihar,0,0,0,0
113,2020-03-02,Chandigarh,0,0,0,0
114,2020-03-02,Chattisgarh,0,0,0,0
115,2020-03-02,Delhi,0,0,0,0
116,2020-03-02,dadra and Nagar Haveli and daman and diu,0,0,0,0
117,2020-03-02,Goa,0,0,0,0
118,2020-03-02,Gujarat,0,0,0,0
119,2020-03-02,Himachal Pradesh,0,0,0,0
120,2020-03-02,Haryana,0,0,0,0
121,2020-03-02,Jharkand,0,0,0,0
122,2020-03-02,Jammu and Kashmir,0,0,0,0
123,2020-03-02,Karnataka,0,0,0,0
124,2020-03-02,kerala,0,0,0,0
125,2020-03-02,Ladakh,0,0,0,0
126,2020-03-02,Maharashtra,0,0,0,0
127,2020-03-02,Meghalaya,0,0,0,0
128,2020-03-02,Manipur,0,0,0,0
129,2020-03-02,Madhya Pradesh,0,0,0,0
130,2020-03-02,Mizoram,0,0,0,0
131,2020-03-02,Nagaland,0,0,0,0
132,2020-03-02,Odisha,0,0,0,0
133,2020-03-02,Punjab,0,0,0,0
134,2020-03-02,Puducherry,0,0,0,0
135,2020-03-02,Rajasthan,0,0,0,0
136,2020-03-02,Sikkim,0,0,0,0
137,2020-03-02,Telangana,0,0,0,0
138,2020-03-02,Tamil Nadu,0,0,0,0
139,2020-03-02,Tripura,0,0,0,0
141,2020-03-02,Uttar Pradesh,0,0,0,0
142,2020-03-02,Uttarkhand,0,0,0,0
143,2020-03-02,West Bengal,0,0,0,0
144,2020-03-03,Andaman and Nicobar Islands,0,0,0,0
145,2020-03-03,Andhra Pradesh,0,0,0,0
146,2020-03-03,Arunachal Pradesh,0,0,0,0
147,2020-03-03,Assam,0,0,0,0
148,2020-03-03,Bihar,0,0,0,0
149,2020-03-03,Chandigarh,0,0,0,0
150,2020-03-03,Chattisgarh,0,0,0,0
151,2020-03-03,Delhi,0,0,0,0
152,2020-03-03,dadra and Nagar Haveli and daman and diu,0,0,0,0
153,2020-03-03,Goa,0,0,0,0
154,2020-03-03,Gujarat,0,0,0,0
155,2020-03-03,Himachal Pradesh,0,0,0,0
156,2020-03-03,Haryana,0,0,0,0
157,2020-03-03,Jharkand,0,0,0,0
158,2020-03-03,Jammu and Kashmir,0,0,0,0
159,2020-03-03,Karnataka,0,0,0,0
160,2020-03-03,kerala,0,0,0,0
161,2020-03-03,Ladakh,0,0,0,0
162,2020-03-03,Maharashtra,0,0,0,0
163,2020-03-03,Meghalaya,0,0,0,0
164,2020-03-03,Manipur,0,0,0,0
165,2020-03-03,Madhya Pradesh,0,0,0,0
166,2020-03-03,Mizoram,0,0,0,0
167,2020-03-03,Nagaland,0,0,0,0
168,2020-03-03,Odisha,0,0,0,0
169,2020-03-03,Punjab,0,0,0,0
170,2020-03-03,Puducherry,0,0,0,0
171,2020-03-03,Rajasthan,0,0,0,0
172,2020-03-03,Sikkim,0,0,0,0
173,2020-03-03,Telangana,0,0,0,0
174,2020-03-03,Tamil Nadu,0,0,0,0
175,2020-03-03,Tripura,0,0,0,0
177,2020-03-03,Uttar Pradesh,0,0,0,0
178,2020-03-03,Uttarkhand,0,0,0,0
179,2020-03-03,West Bengal,0,0,0,0
180,2020-03-04,Andaman and Nicobar Islands,0,0,0,0
181,2020-03-04,Andhra Pradesh,0,0,0,0
182,2020-03-04,Arunachal Pradesh,0,0,0,0
183,2020-03-04,Assam,0,0,0,0
184,2020-03-04,Bihar,0,0,0,0
185,2020-03-04,Chandigarh,0,0,0,0
186,2020-03-04,Chattisgarh,0,0,0,0
187,2020-03-04,Delhi,0,0,0,0
188,2020-03-04,dadra and Nagar Haveli and daman and diu,0,0,0,0
189,2020-03-04,Goa,0,0,0,0
190,2020-03-04,Gujarat,0,0,0,0
191,2020-03-04,Himachal Pradesh,0,0,0,0
192,2020-03-04,Haryana,0,0,0,0
193,2020-03-04,Jharkand,0,0,0,0
194,2020-03-04,Jammu and Kashmir,0,0,0,0
195,2020-03-04,Karnataka,0,0,0,0
196,2020-03-04,kerala,0,0,0,0
197,2020-03-04,Ladakh,0,0,0,0
198,2020-03-04,Maharashtra,0,0,0,0
199,2020-03-04,Meghalaya,0,0,0,0
200,2020-03-04,Manipur,0,0,0,0
201,2020-03-04,Madhya Pradesh,0,0,0,0
202,2020-03-04,Mizoram,0,0,0,0
203,2020-03-04,Nagaland,0,0,0,0
204,2020-03-04,Odisha,0,0,0,0
205,2020-03-04,Punjab,0,0,0,0
206,2020-03-04,Puducherry,0,0,0,0
207,2020-03-04,Rajasthan,0,0,0,0
208,2020-03-04,Sikkim,0,0,0,0
209,2020-03-04,Telangana,0,0,0,0
210,2020-03-04,Tamil Nadu,0,0,0,0
211,2020-03-04,Tripura,0,0,0,0
213,2020-03-04,Uttar Pradesh,0,0,0,0
214,2020-03-04,Uttarkhand,0,0,0,0
215,2020-03-04,West Bengal,0,0,0,0
216,2020-03-05,Andaman and Nicobar Islands,0,0,0,0
217,2020-03-05,Andhra Pradesh,0,0,0,0
218,2020-03-05,Arunachal Pradesh,0,0,0,0
219,2020-03-05,Assam,0,0,0,0
220,2020-03-05,Bihar,0,0,0,0
221,2020-03-05,Chandigarh,0,0,0,0
222,2020-03-05,Chattisgarh,0,0,0,0
223,2020-03-05,Delhi,0,0,0,0
224,2020-03-05,dadra and Nagar Haveli and daman and diu,0,0,0,0
225,2020-03-05,Goa,0,0,0,0
226,2020-03-05,Gujarat,0,0,0,0
227,2020-03-05,Himachal Pradesh,0,0,0,0
228,2020-03-05,Haryana,0,0,0,0
229,2020-03-05,Jharkand,0,0,0,0
230,2020-03-05,Jammu and Kashmir,0,0,0,0
231,2020-03-05,Karnataka,0,0,0,0
232,2020-03-05,kerala,0,0,0,0
233,2020-03-05,Ladakh,0,0,0,0
234,2020-03-05,Maharashtra,0,0,0,0
235,2020-03-05,Meghalaya,0,0,0,0
236,2020-03-05,Manipur,0,0,0,0
237,2020-03-05,Madhya Pradesh,0,0,0,0
238,2020-03-05,Mizoram,0,0,0,0
239,2020-03-05,Nagaland,0,0,0,0
240,2020-03-05,Odisha,0,0,0,0
241,2020-03-05,Punjab,0,0,0,0
242,2020-03-05,Puducherry,0,0,0,0
243,2020-03-05,Rajasthan,0,0,0,0
244,2020-03-05,Sikkim,0,0,0,0
245,2020-03-05,Telangana,0,0,0,0
246,2020-03-05,Tamil Nadu,0,0,0,0
247,2020-03-05,Tripura,0,0,0,0
249,2020-03-05,Uttar Pradesh,0,0,0,0
250,2020-03-05,Uttarkhand,0,0,0,0
251,2020-03-05,West Bengal,0,0,0,0
252,2020-03-06,Andaman and Nicobar Islands,0,0,0,0
253,2020-03-06,Andhra Pradesh,0,0,0,0
254,2020-03-06,Arunachal Pradesh,0,0,0,0
255,2020-03-06,Assam,0,0,0,0
256,2020-03-06,Bihar,0,0,0,0
257,2020-03-06,Chandigarh,0,0,0,0
258,2020-03-06,Chattisgarh,0,0,0,0
259,2020-03-06,Delhi,0,0,0,0
260,2020-03-06,dadra and Nagar Haveli and daman and diu,0,0,0,0
261,2020-03-06,Goa,0,0,0,0
262,2020-03-06,Gujarat,0,0,0,0
263,2020-03-06,Himachal Pradesh,0,0,0,0
264,2020-03-06,Haryana,0,0,0,0
265,2020-03-06,Jharkand,0,0,0,0
266,2020-03-06,Jammu and Kashmir,0,0,0,0
267,2020-03-06,Karnataka,0,0,0,0
268,2020-03-06,kerala,0,0,0,0
269,2020-03-06,Ladakh,0,0,0,0
270,2020-03-06,Maharashtra,0,0,0,0
271,2020-03-06,Meghalaya,0,0,0,0
272,2020-03-06,Manipur,0,0,0,0
273,2020-03-06,Madhya Pradesh,0,0,0,0
274,2020-03-06,Mizoram,0,0,0,0
275,2020-03-06,Nagaland,0,0,0,0
276,2020-03-06,Odisha,0,0,0,0
277,2020-03-06,Punjab,0,0,0,0
278,2020-03-06,Puducherry,0,0,0,0
279,2020-03-06,Rajasthan,0,0,0,0
280,2020-03-06,Sikkim,0,0,0,0
281,2020-03-06,Telangana,0,0,0,0
282,2020-03-06,Tamil Nadu,0,0,0,0
283,2020-03-06,Tripura,0,0,0,0
285,2020-03-06,Uttar Pradesh,0,0,0,0
286,2020-03-06,Uttarkhand,0,0,0,0
287,2020-03-06,West Bengal,0,0,0,0
288,2020-03-07,Andaman and Nicobar Islands,0,0,0,0
289,2020-03-07,Andhra Pradesh,0,0,0,0
290,2020-03-07,Arunachal Pradesh,0,0,0,0
291,2020-03-07,Assam,0,0,0,0
292,2020-03-07,Bihar,0,0,0,0
293,2020-03-07,Chandigarh,0,0,0,0
294,2020-03-07,Chattisgarh,0,0,0,0
295,2020-03-07,Delhi,0,0,0,0
296,2020-03-07,dadra and Nagar Haveli and daman and diu,0,0,0,0
297,2020-03-07,Goa,0,0,0,0
298,2020-03-07,Gujarat,0,0,0,0
299,2020-03-07,Himachal Pradesh,0,0,0,0
300,2020-03-07,Haryana,0,0,0,0
301,2020-03-07,Jharkand,0,0,0,0
302,2020-03-07,Jammu and Kashmir,0,0,0,0
303,2020-03-07,Karnataka,0,0,0,0
304,2020-03-07,kerala,0,0,0,0
305,2020-03-07,Ladakh,0,0,0,0
306,2020-03-07,Maharashtra,0,0,0,0
307,2020-03-07,Meghalaya,0,0,0,0
308,2020-03-07,Manipur,0,0,0,0
309,2020-03-07,Madhya Pradesh,0,0,0,0
310,2020-03-07,Mizoram,0,0,0,0
311,2020-03-07,Nagaland,0,0,0,0
312,2020-03-07,Odisha,0,0,0,0
313,2020-03-07,Punjab,0,0,0,0
314,2020-03-07,Puducherry,0,0,0,0
315,2020-03-07,Rajasthan,0,0,0,0
316,2020-03-07,Sikkim,0,0,0,0
317,2020-03-07,Telangana,0,0,0,0
318,2020-03-07,Tamil Nadu,0,0,0,0
319,2020-03-07,Tripura,0,0,0,0
321,2020-03-07,Uttar Pradesh,0,0,0,0
322,2020-03-07,Uttarkhand,0,0,0,0
323,2020-03-07,West Bengal,0,0,0,0
324,2020-03-08,Andaman and Nicobar Islands,0,0,0,0
325,2020-03-08,Andhra Pradesh,0,0,0,0
326,2020-03-08,Arunachal Pradesh,0,0,0,0
327,2020-03-08,Assam,0,0,0,0
328,2020-03-08,Bihar,0,0,0,0
329,2020-03-08,Chandigarh,0,0,0,0
330,2020-03-08,Chattisgarh,0,0,0,0
331,2020-03-08,Delhi,0,0,0,0
332,2020-03-08,dadra and Nagar Haveli and daman and diu,0,0,0,0
333,2020-03-08,Goa,0,0,0,0
334,2020-03-08,Gujarat,0,0,0,0
335,2020-03-08,Himachal Pradesh,0,0,0,0
336,2020-03-08,Haryana,0,0,0,0
337,2020-03-08,Jharkand,0,0,0,0
338,2020-03-08,Jammu and Kashmir,0,0,0,0
339,2020-03-08,Karnataka,0,0,0,0
340,2020-03-08,kerala,0,0,0,0
341,2020-03-08,Ladakh,0,0,0,0
342,2020-03-08,Maharashtra,0,0,0,0
343,2020-03-08,Meghalaya,0,0,0,0
344,2020-03-08,Manipur,0,0,0,0
345,2020-03-08,Madhya Pradesh,0,0,0,0
346,2020-03-08,Mizoram,0,0,0,0
347,2020-03-08,Nagaland,0,0,0,0
348,2020-03-08,Odisha,0,0,0,0
349,2020-03-08,Punjab,0,0,0,0
350,2020-03-08,Puducherry,0,0,0,0
351,2020-03-08,Rajasthan,0,0,0,0
352,2020-03-08,Sikkim,0,0,0,0
353,2020-03-08,Telangana,0,0,0,0
354,2020-03-08,Tamil Nadu,0,0,0,0
355,2020-03-08,Tripura,0,0,0,0
357,2020-03-08,Uttar Pradesh,0,0,0,0
358,2020-03-08,Uttarkhand,0,0,0,0
359,2020-03-08,West Bengal,0,0,0,0
360,2020-03-09,Andaman and Nicobar Islands,0,0,0,0
361,2020-03-09,Andhra Pradesh,0,0,0,0
362,2020-03-09,Arunachal Pradesh,0,0,0,0
363,2020-03-09,Assam,0,0,0,0
364,2020-03-09,Bihar,0,0,0,0
365,2020-03-09,Chandigarh,0,0,0,0
366,2020-03-09,Chattisgarh,0,0,0,0
367,2020-03-09,Delhi,0,0,0,0
368,2020-03-09,dadra and Nagar Haveli and daman and diu,0,0,0,0
369,2020-03-09,Goa,0,0,0,0
